points,cells,social_info,unique_rounds,env_number,gender,soc_info_round,gempresent,round,tot_points,gem,trial,cell,x,y,group,uniqueID,round_gem_found,gem_found,social_info_use,performance_group,performance_group_f,demonstrator,demo_type
28.0,13.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,1,12.0,4.0,1.0,adult,1,,0,ignore,1,low,795.0,gem_found
34.0,13.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,2,12.0,4.0,1.0,adult,1,,0,ignore,1,low,795.0,gem_found
28.0,13.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,3,12.0,4.0,1.0,adult,1,,0,ignore,1,low,795.0,gem_found
50.0,20.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,4,19.0,3.0,2.0,adult,1,,0,ignore,1,low,795.0,gem_found
-51.0,19.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,5,18.0,2.0,2.0,adult,1,,0,ignore,1,low,795.0,gem_found
21.0,27.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,6,26.0,2.0,3.0,adult,1,,0,ignore,1,low,795.0,gem_found
-31.0,63.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,7,62.0,6.0,7.0,adult,1,,0,ignore,1,low,795.0,gem_found
-22.0,11.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,8,10.0,2.0,1.0,adult,1,,0,ignore,1,low,795.0,gem_found
-1.0,28.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,9,27.0,3.0,3.0,adult,1,,0,copy,1,low,795.0,gem_found
23.0,36.0,27.0,1,10.0,2.0,795.0,1.0,1,39,0.0,10,35.0,3.0,4.0,adult,1,,0,ignore,1,low,795.0,gem_found
-25.0,22.0,22.0,1,10.0,2.0,795.0,1.0,1,39,0.0,11,21.0,5.0,2.0,adult,1,,0,ignore,1,low,795.0,gem_found
-44.0,34.0,30.0,1,10.0,2.0,795.0,1.0,1,39,0.0,12,33.0,1.0,4.0,adult,1,,0,ignore,1,low,795.0,gem_found
-35.0,32.0,46.0,1,10.0,2.0,795.0,1.0,1,39,0.0,13,31.0,7.0,3.0,adult,1,,0,ignore,1,low,795.0,gem_found
36.0,43.0,46.0,1,10.0,2.0,795.0,1.0,1,39,0.0,14,42.0,2.0,5.0,adult,1,,0,ignore,1,low,795.0,gem_found
52.0,29.0,22.0,1,10.0,2.0,795.0,1.0,1,39,0.0,15,28.0,4.0,3.0,adult,1,,0,ignore,1,low,795.0,gem_found
54.0,53.0,45.0,1,10.0,2.0,795.0,1.0,1,39,0.0,16,52.0,4.0,6.0,adult,1,,0,ignore,1,low,795.0,gem_found
22.0,44.0,45.0,1,10.0,2.0,795.0,1.0,1,39,0.0,17,43.0,3.0,5.0,adult,1,,0,ignore,1,low,795.0,gem_found
